№   ампл.т. ампл.э. фаза.т. фаза.э.
703   0.994 0.993    0.136 0.136
704   0.994 0.992    0.212 0.212
705   0.994 0.992    0.286 0.287
706   0.993 0.991    0.359 0.360
707   0.993 0.991    0.429 0.430
708   0.993 0.991    0.497 0.498
709   0.992 0.990    0.561 0.562
710   0.992 0.990    0.622 0.623
711   0.991 0.990    0.679 0.681
712   0.991 0.989    0.733 0.734
713   0.990 0.989    0.782 0.783
714   0.990 0.989    0.826 0.827
715   0.990 0.988    0.866 0.867
716   0.989 0.988    0.901 0.902
717   0.988 0.987    0.930 0.931
718   0.988 0.987    0.955 0.956
719   0.987 0.987    0.974 0.975
720   0.987 0.986    0.988 0.989
721   0.986 0.986    0.997 0.997
722   0.985 0.985    1.000 1.000
723   0.985 0.985    0.998 0.998
724   0.984 0.984    0.991 0.990
725   0.983 0.984    0.978 0.978
726   0.982 0.983    0.961 0.960
727   0.981 0.983    0.939 0.937
728   0.981 0.982    0.912 0.910
729   0.980 0.981    0.880 0.878
730   0.979 0.981    0.844 0.842
731   0.978 0.980    0.804 0.802
732   0.977 0.979    0.760 0.758
733   0.976 0.979    0.713 0.711
734   0.975 0.978    0.662 0.660
735   0.973 0.977    0.608 0.606
736   0.972 0.976    0.552 0.549
737   0.971 0.975    0.493 0.491
738   0.970 0.974    0.432 0.430
739   0.968 0.973    0.369 0.367
740   0.967 0.972    0.304 0.303
741   0.965 0.971    0.239 0.237
742   0.964 0.969    0.172 0.171
743   0.962 0.968    0.105 0.105
744   0.961 0.967    0.038 0.038
745   0.959 0.965   -0.029 0.029
746   0.957 0.963   -0.096 0.095
