Started
Inited
Graph Inited
Solved 0
Solved 1
Solved 2
x[0] = 179, v[0] = 0
x[356] = 180.209, v[356] = -1.41775
x[357] = 180.139, v[357] = -1.36577
x[358] = 180.073, v[358] = -1.3183
x[359] = 180.008, v[359] = -1.29829
x[360] = 179.943, v[360] = -1.30471
x[361] = 179.877, v[361] = -1.31465
x[362] = 179.811, v[362] = -1.29319
x[363] = 179.748, v[363] = -1.20992
x[364] = 179.69, v[364] = -1.05676
x[365] = 179.642, v[365] = -0.857841
x[366] = 179.604, v[366] = -0.663588
x[367] = 179.576, v[367] = -0.531296
x[368] = 179.551, v[368] = -0.503382
x[369] = 179.525, v[369] = -0.594528
x[370] = 179.492, v[370] = -0.789857
x[371] = 179.446, v[371] = -1.04865
x[372] = 179.387, v[372] = -1.30857
x[373] = 179.315, v[373] = -1.49166
x[374] = 179.238, v[374] = -1.51859
x[375] = 179.164, v[375] = -1.33485
x[376] = 179.104, v[376] = -0.941486
x[377] = 179.069, v[377] = -0.410902
x[378] = 179.063, v[378] = 0.129886
x[379] = 179.082, v[379] = 0.546054
x[380] = 179.117, v[380] = 0.745693
x[381] = 179.157, v[381] = 0.70582
x[382] = 179.188, v[382] = 0.466014
x[383] = 179.203, v[383] = 0.104523
x[384] = 179.198, v[384] = -0.283992
x[385] = 179.175, v[385] = -0.601945
x[386] = 179.138, v[386] = -0.759652
x[387] = 179.099, v[387] = -0.692895
x[388] = 179.069, v[388] = -0.387789
x[389] = 179.06, v[389] = 0.100697
x[390] = 179.079, v[390] = 0.656062
x[391] = 179.125, v[391] = 1.13977
x[392] = 179.193, v[392] = 1.44441
x[393] = 179.27, v[393] = 1.52954
x[394] = 179.346, v[394] = 1.42262
x[395] = 179.412, v[395] = 1.19346
x[396] = 179.465, v[396] = 0.923529
x[397] = 179.504, v[397] = 0.685176
x[398] = 179.533, v[398] = 0.531993
x[399] = 179.557, v[399] = 0.494115
x[400] = 179.583, v[400] = 0.573745
x[401] = 179.615, v[401] = 0.742923
x[402] = 179.657, v[402] = 0.949854
x[403] = 179.71, v[403] = 1.13667
x[404] = 179.771, v[404] = 1.26207
x[405] = 179.836, v[405] = 1.31613
x[406] = 179.902, v[406] = 1.31889
x[407] = 179.968, v[407] = 1.30547
x[408] = 180.033, v[408] = 1.3076
x[409] = 180.098, v[409] = 1.33955
x[410] = 180.167, v[410] = 1.39172
x[411] = 180.238, v[411] = 1.4322
x[412] = 180.31, v[412] = 1.41717
x[413] = 180.379, v[413] = 1.30974
x[414] = 180.441, v[414] = 1.10141
x[415] = 180.49, v[415] = 0.824619
x[416] = 180.523, v[416] = 0.545783
x[417] = 180.544, v[417] = 0.340387
x[418] = 180.557, v[418] = 0.26438
x[419] = 180.571, v[419] = 0.337414
x[420] = 180.591, v[420] = 0.541996
x[421] = 180.625, v[421] = 0.831216
x[422] = 180.674, v[422] = 1.13647
x[423] = 180.739, v[423] = 1.37418
x[424] = 180.812, v[424] = 1.45795
x[425] = 180.884, v[425] = 1.32253
x[426] = 180.944, v[426] = 0.955304
x[427] = 180.98, v[427] = 0.417606
x[428] = 180.986, v[428] = -0.165154
x[429] = 180.964, v[429] = -0.647662
x[430] = 180.921, v[430] = -0.920252
x[431] = 180.872, v[431] = -0.943546
x[432] = 180.827, v[432] = -0.747835
x[433] = 180.797, v[433] = -0.408854
x[434] = 180.786, v[434] = -0.0213991
x[435] = 180.795, v[435] = 0.317509
x[436] = 180.818, v[436] = 0.519088
x[437] = 180.847, v[437] = 0.516589
x[438] = 180.87, v[438] = 0.286296
x[439] = 180.876, v[439] = -0.133614
x[440] = 180.857, v[440] = -0.644241
x[441] = 180.811, v[441] = -1.11714
x[442] = 180.745, v[442] = -1.44337
x[443] = 180.667, v[443] = -1.57223
x[444] = 180.588, v[444] = -1.51875
x[445] = 180.515, v[445] = -1.34282
x[446] = 180.454, v[446] = -1.11886
x[447] = 180.403, v[447] = -0.912903
x[448] = 180.362, v[448] = -0.771546
x[449] = 180.326, v[449] = -0.718223
x[450] = 180.29, v[450] = -0.752214
x[451] = 180.251, v[451] = -0.850086
x[452] = 180.206, v[452] = -0.972874
x[453] = 180.154, v[453] = -1.08029
x[454] = 180.098, v[454] = -1.14707
x[455] = 180.039, v[455] = -1.17238
x[456] = 179.98, v[456] = -1.17702
x[457] = 179.921, v[457] = -1.19059
x[458] = 179.861, v[458] = -1.23644
x[459] = 179.798, v[459] = -1.32006
x[460] = 179.729, v[460] = -1.42335
x[461] = 179.655, v[461] = -1.50567
x[462] = 179.579, v[462] = -1.51385
x[463] = 179.504, v[463] = -1.40216
x[464] = 179.438, v[464] = -1.15724
x[465] = 179.388, v[465] = -0.814651
x[466] = 179.357, v[466] = -0.453413
x[467] = 179.343, v[467] = -0.167347
x[468] = 179.34, v[468] = -0.029231
x[469] = 179.34, v[469] = -0.0679975
x[470] = 179.333, v[470] = -0.266826
x[471] = 179.313, v[471] = -0.574262
x[472] = 179.276, v[472] = -0.916214
x[473] = 179.221, v[473] = -1.20446
x[474] = 179.155, v[474] = -1.34726
x[475] = 179.087, v[475] = -1.27022
x[476] = 179.028, v[476] = -0.946969
x[477] = 178.992, v[477] = -0.424493
x[478] = 178.986, v[478] = 0.179124
x[479] = 179.01, v[479] = 0.713653
x[480] = 179.057, v[480] = 1.05433
x[481] = 179.115, v[481] = 1.14447
x[482] = 179.171, v[482] = 1.00221
x[483] = 179.215, v[483] = 0.698015
x[484] = 179.241, v[484] = 0.325203
x[485] = 179.248, v[485] = -0.0207613
x[486] = 179.239, v[486] = -0.253511
x[487] = 179.222, v[487] = -0.306565
x[488] = 179.208, v[488] = -0.149896
x[489] = 179.207, v[489] = 0.192809
x[490] = 179.227, v[490] = 0.641205
x[491] = 179.271, v[491] = 1.08139
x[492] = 179.335, v[492] = 1.40876
x[493] = 179.412, v[493] = 1.56672
x[494] = 179.492, v[494] = 1.55946
x[495] = 179.568, v[495] = 1.43628
x[496] = 179.636, v[496] = 1.26328
x[497] = 179.694, v[497] = 1.09938
x[498] = 179.745, v[498] = 0.983614
x[499] = 179.792, v[499] = 0.931578
x[500] = 179.839, v[500] = 0.936901
x[501] = 179.886, v[501] = 0.976408
x[502] = 179.936, v[502] = 1.01969
x[503] = 179.988, v[503] = 1.04205
x[504] = 180.04, v[504] = 1.0358
x[505] = 180.092, v[505] = 1.01362
x[506] = 180.142, v[506] = 1.00186
x[507] = 180.192, v[507] = 1.02797
x[508] = 180.245, v[508] = 1.10829
x[509] = 180.303, v[509] = 1.23974
x[510] = 180.369, v[510] = 1.39586
x[511] = 180.442, v[511] = 1.52778
x[512] = 180.521, v[512] = 1.5732
x[513] = 180.6, v[513] = 1.47635
x[514] = 180.669, v[514] = 1.21543
x[515] = 180.721, v[515] = 0.823881
x[516] = 180.752, v[516] = 0.388543
x[517] = 180.76, v[517] = 0.0198282
x[518] = 180.754, v[518] = -0.190754
x[519] = 180.741, v[519] = -0.200997
x[520] = 180.734, v[520] = -0.023287
x[521] = 180.739, v[521] = 0.288626
x[522] = 180.762, v[522] = 0.656192
x[523] = 180.805, v[523] = 0.987491
x[524] = 180.861, v[524] = 1.18712
x[525] = 180.923, v[525] = 1.17373
x[526] = 180.979, v[526] = 0.908317
x[527] = 181.014, v[527] = 0.421823
x[528] = 181.021, v[528] = -0.179895
x[529] = 180.996, v[529] = -0.747803
x[530] = 180.946, v[530] = -1.14629
x[531] = 180.882, v[531] = -1.30208
x[532] = 180.816, v[532] = -1.2191
x[533] = 180.76, v[533] = -0.959898
x[534] = 180.72, v[534] = -0.614396
x[535] = 180.699, v[535] = -0.275472
x[536] = 180.693, v[536] = -0.0258823
x[537] = 180.696, v[537] = 0.0705577
x[538] = 180.7, v[538] = -0.0188601
x[539] = 180.694, v[539] = -0.281576
x[540] = 180.672, v[540] = -0.654969
x[541] = 180.629, v[541] = -1.04258
x[542] = 180.568, v[542] = -1.34956
x[543] = 180.494, v[543] = -1.51869
x[544] = 180.416, v[544] = -1.5462
x[545] = 180.339, v[545] = -1.47123
x[546] = 180.269, v[546] = -1.3507
x[547] = 180.204, v[547] = -1.23558
x[548] = 180.145, v[548] = -1.15693
x[549] = 180.089, v[549] = -1.12189
x[550] = 180.033, v[550] = -1.1165
x[551] = 179.977, v[551] = -1.11411
x[552] = 179.922, v[552] = -1.08816
x[553] = 179.868, v[553] = -1.02604
x[554] = 179.819, v[554] = -0.937343
x[555] = 179.775, v[555] = -0.851319
x[556] = 179.734, v[556] = -0.804682
x[557] = 179.694, v[557] = -0.826849
x[558] = 179.651, v[558] = -0.929424
x[559] = 179.601, v[559] = -1.10149
x[560] = 179.541, v[560] = -1.30848
x[561] = 179.47, v[561] = -1.49388
x[562] = 179.392, v[562] = -1.58702
x[563] = 179.311, v[563] = -1.52192
x[564] = 179.239, v[564] = -1.26595
x[565] = 179.185, v[565] = -0.845615
x[566] = 179.155, v[566] = -0.350053
x[567] = 179.15, v[567] = 0.0972724
x[568] = 179.164, v[568] = 0.385946
x[569] = 179.188, v[569] = 0.45731
x[570] = 179.21, v[570] = 0.315404
x[571] = 179.22, v[571] = 0.0134637
x[572] = 179.211, v[572] = -0.366897
x[573] = 179.183, v[573] = -0.730981
x[574] = 179.138, v[574] = -0.981276
x[575] = 179.085, v[575] = -1.03189
x[576] = 179.035, v[576] = -0.833332
x[577] = 179.001, v[577] = -0.400406
x[578] = 178.995, v[578] = 0.17684
x[579] = 179.019, v[579] = 0.756542
x[580] = 179.07, v[580] = 1.19767
x[581] = 179.139, v[581] = 1.41276
x[582] = 179.211, v[582] = 1.39072
x[583] = 179.278, v[583] = 1.18382
x[584] = 179.33, v[584] = 0.876576
x[585] = 179.365, v[585] = 0.558117
x[586] = 179.385, v[586] = 0.306633
x[587] = 179.396, v[587] = 0.181372
x[588] = 179.404, v[588] = 0.214335
x[589] = 179.417, v[589] = 0.400113
x[590] = 179.444, v[590] = 0.691404
x[591] = 179.486, v[591] = 1.01026
x[592] = 179.544, v[592] = 1.27597
x[593] = 179.614, v[593] = 1.43625
x[594] = 179.688, v[594] = 1.48344
x[595] = 179.762, v[595] = 1.44811
x[596] = 179.833, v[596] = 1.37781
x[597] = 179.9, v[597] = 1.31484
x[598] = 179.964, v[598] = 1.28198
x[599] = 180.028, v[599] = 1.27761
x[600] = 180.092, v[600] = 1.27909
x[601] = 180.156, v[601] = 1.25336
x[602] = 180.217, v[602] = 1.17314
x[603] = 180.273, v[603] = 1.03333
x[604] = 180.321, v[604] = 0.858611
x[605] = 180.359, v[605] = 0.696258
x[606] = 180.39, v[606] = 0.597482
x[607] = 180.419, v[607] = 0.598238
x[608] = 180.45, v[608] = 0.70855
x[609] = 180.49, v[609] = 0.911027
x[610] = 180.541, v[610] = 1.16348
x[611] = 180.606, v[611] = 1.40232
x[612] = 180.682, v[612] = 1.54959
x[613] = 180.761, v[613] = 1.52981
x[614] = 180.835, v[614] = 1.29844
x[615] = 180.891, v[615] = 0.871183
x[616] = 180.922, v[616] = 0.333788
x[617] = 180.925, v[617] = -0.182172
x[618] = 180.904, v[618] = -0.549076
x[619] = 180.87, v[619] = -0.68992
x[620] = 180.835, v[620] = -0.596732
x[621] = 180.81, v[621] = -0.319023
x[622] = 180.803, v[622] = 0.0603536
